school_name,9th,10th,11th,12th
Bailey High School,81.303,80.907,80.946,80.912
Cabrera High School,83.676,84.253,83.788,84.288
Figueroa High School,81.199,81.409,80.640,81.385
Ford High School,80.633,81.263,80.404,80.662
Griffin High School,83.369,83.707,84.288,84.014
Hernandez High School,80.867,80.660,81.396,80.857
Holden High School,83.677,83.325,83.816,84.699
Huang High School,81.290,81.512,81.417,80.306
Johnson High School,81.261,80.773,80.616,81.228
Pena High School,83.807,83.612,84.336,84.591
Rodriguez High School,80.993,80.630,80.865,80.376
Shelton High School,84.123,83.442,84.374,82.782
Thomas High School,83.729,84.254,83.586,83.831
Wilson High School,83.940,84.021,83.765,84.318
Wright High School,83.833,83.813,84.156,84.073
